GTF_tag,Locus_tag,Gene_name,Product
gene-Rv2912c,Rv2912c,Rv2912c,Probable transcriptional regulatory protein (probably TetR-family)
gene-Rv2913c,Rv2913c,Rv2913c,Possible D-amino acid aminohydrolase (D-amino acid hydrolase)
gene-Rv2914c,Rv2914c,pknI,Probable transmembrane serine/threonine-protein kinase I PknI (protein kinase I) (STPK I) (phosphorylase B kinase kinase) (hydroxyalkyl-protein kinase)
gene-Rv2915c,Rv2915c,Rv2915c,Conserved protein
gene-Rv2916c,Rv2916c,ffh,Probable signal recognition particle protein Ffh (fifty-four homolog) (SRP protein)
gene-Rv2917,Rv2917,Rv2917,Conserved hypothetical alanine and arginine rich protein
gene-Rv2918c,Rv2918c,glnD,Probable [protein-PII] uridylyltransferase GlnD (PII uridylyl- transferase) (uridylyl removing enzyme) (UTASE)
gene-Rv2919c,Rv2919c,glnB,Probable nitrogen regulatory protein P-II GlnB
gene-Rv2920c,Rv2920c,amt,Probable ammonium-transport integral membrane protein Amt
gene-Rv2921c,Rv2921c,ftsY,Probable cell division protein FtsY (SRP receptor) (signal recognition particle receptor)
gene-Rv2922c,Rv2922c,smc,Probable chromosome partition protein Smc
gene-Rv2922A,Rv2922A,acyP,Probable acylphosphatase AcyP (acylphosphate phosphohydrolase)
gene-Rv2923c,Rv2923c,Rv2923c,Conserved protein
gene-Rv2924c,Rv2924c,fpg,Probable formamidopyrimidine-DNA glycosylase Fpg (FAPY-DNA glycosylase)
gene-Rv2925c,Rv2925c,rnc,Probable ribonuclease III Rnc (RNase III)
gene-Rv2926c,Rv2926c,Rv2926c,Conserved protein
gene-Rv2927c,Rv2927c,Rv2927c,Conserved hypothetical protein
gene-Rv2928,Rv2928,tesA,Probable thioesterase TesA
gene-Rv2929,Rv2929,Rv2929,Hypothetical protein
gene-Rv2930,Rv2930,fadD26,Fatty-acid-AMP ligase FadD26 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase)
gene-Rv2931,Rv2931,ppsA,Phenolpthiocerol synthesis type-I polyketide synthase PpsA
gene-Rv2932,Rv2932,ppsB,Phenolpthiocerol synthesis type-I polyketide synthase PpsB
gene-Rv2933,Rv2933,ppsC,Phenolpthiocerol synthesis type-I polyketide synthase PpsC
gene-Rv2934,Rv2934,ppsD,Phenolpthiocerol synthesis type-I polyketide synthase PpsD
gene-Rv2935,Rv2935,ppsE,Phenolpthiocerol synthesis type-I polyketide synthase PpsE
gene-Rv2936,Rv2936,drrA,Daunorubicin-dim-transport ATP-binding protein ABC transporter DrrA
gene-Rv2937,Rv2937,drrB,Daunorubicin-dim-transport integral membrane protein ABC transporter DrrB
gene-Rv2938,Rv2938,drrC,Probable daunorubicin-dim-transport integral membrane protein ABC transporter DrrC
gene-Rv2939,Rv2939,papA5,Possible conserved polyketide synthase associated protein PapA5
gene-Rv2940c,Rv2940c,mas,Probable multifunctional mycocerosic acid synthase membrane-associated Mas
gene-Rv2940c,Rv2940c,mas,Probable multifunctional mycocerosic acid synthase membrane-associated Mas
gene-Rv2940c,Rv2940c,mas,Probable multifunctional mycocerosic acid synthase membrane-associated Mas
gene-Rv2941,Rv2941,fadD28,Fatty-acid-AMP ligase FadD28 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase)
gene-Rv2942,Rv2942,mmpL7,Conserved transmembrane transport protein MmpL7
gene-Rv2943,Rv2943,Rv2943,Probable transposase for insertion sequence element IS1533
gene-Rv2943A,Rv2943A,Rv2943A,Possible transposase
gene-Rv2944,Rv2944,Rv2944,Possible transposase for insertion sequence element IS1533
gene-Rv2945c,Rv2945c,lppX,Probable conserved lipoprotein LppX
gene-Rv2946c,Rv2946c,pks1,Probable polyketide synthase Pks1
gene-Rv2947c,Rv2947c,pks15,Probable polyketide synthase Pks15
gene-Rv2948c,Rv2948c,fadD22,P-hydroxybenzoyl-AMP ligase FadD22
gene-Rv2949c,Rv2949c,Rv2949c,Chorismate pyruvate lyase
gene-Rv2950c,Rv2950c,fadD29,Fatty-acid-AMP ligase FadD29 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase)
gene-Rv2951c,Rv2951c,Rv2951c,Possible oxidoreductase
gene-Rv2952,Rv2952,Rv2952,Possible methyltransferase (methylase)
gene-Rv2953,Rv2953,Rv2953,Enoyl reductase
gene-Rv2954c,Rv2954c,Rv2954c,Hypothetical protein
gene-Rv2955c,Rv2955c,Rv2955c,Conserved protein
gene-Rv2956,Rv2956,Rv2956,Conserved protein
gene-Rv2957,Rv2957,Rv2957,Possible glycosyl transferase
gene-Rv2958c,Rv2958c,Rv2958c,Possible glycosyl transferase
gene-Rv2959c,Rv2959c,Rv2959c,Possible methyltransferase (methylase)
gene-Rv2960c,Rv2960c,Rv2960c,Hypothetical protein
gene-Rv2961,Rv2961,Rv2961,Probable transposase
gene-Rv2962c,Rv2962c,Rv2962c,Possible glycosyl transferase
gene-Rv2963,Rv2963,Rv2963,Probable integral membrane protein
gene-Rv2964,Rv2964,purU,Probable formyltetrahydrofolate deformylase PurU (formyl-FH(4) hydrolase)
gene-Rv2965c,Rv2965c,kdtB,Probable phosphopantetheine adenylyltransferase KdtB (pantetheine- phosphate adenylyltransferase) (PPAT) (dephospho-CoA pyrophosphorylase)
gene-Rv2966c,Rv2966c,Rv2966c,Possible methyltransferase (methylase)
gene-Rv2967c,Rv2967c,pca,Probable pyruvate carboxylase Pca (pyruvic carboxylase)
gene-Rv2968c,Rv2968c,Rv2968c,Probable conserved integral membrane protein
gene-Rv2969c,Rv2969c,Rv2969c,Possible conserved membrane or secreted protein
gene-Rv2970c,Rv2970c,lipN,Probable lipase/esterase LipN
gene-Rv2970A,Rv2970A,Rv2970A,Conserved hypothetical protein
gene-Rv2971,Rv2971,Rv2971,Probable oxidoreductase
gene-Rv2972c,Rv2972c,Rv2972c,Possible conserved membrane or exported protein
gene-Rv2973c,Rv2973c,recG,Probable ATP-dependent DNA helicase RecG
gene-Rv2974c,Rv2974c,Rv2974c,Conserved hypothetical alanine rich protein
gene-Rv2975c,Rv2975c,Rv2975c,Conserved hypothetical protein
gene-Rv2976c,Rv2976c,ung,Probable uracil-DNA glycosylase Ung (UDG)
gene-Rv2977c,Rv2977c,thiL,Probable thiamine-monophosphate kinase ThiL (thiamine-phosphate kinase)
gene-Rv2978c,Rv2978c,Rv2978c,Probable transposase
gene-Rv2979c,Rv2979c,Rv2979c,Probable resolvase
gene-Rv2980,Rv2980,Rv2980,Possible conserved secreted protein
gene-Rv2981c,Rv2981c,ddlA,Probable D-alanine--D-alanine ligase DdlA (D-alanylalanine synthetase) (D-ala-D-ala ligase)
gene-Rv2982c,Rv2982c,gpdA2,Probable glycerol-3-phosphate dehydrogenase [NAD(P)+] GpdA2 (NAD(P)H- dependent glycerol-3-phosphate dehydrogenase)
gene-Rv2983,Rv2983,Rv2983,Conserved hypothetical alanine rich protein
gene-Rv2984,Rv2984,ppk1,Polyphosphate kinase PPK (polyphosphoric acid kinase) (ATP-polyphosphate phosphotransferase)
gene-Rv2985,Rv2985,mutT1,Possible hydrolase MutT1
gene-Rv2986c,Rv2986c,hupB,DNA-binding protein HU homolog HupB (histone-like protein) (HLP) (21-kDa laminin-2-binding protein)
gene-Rv2987c,Rv2987c,leuD,Probable 3-isopropylmalate dehydratase (small subunit) LeuD (isopropylmalate isomerase) (alpha-IPM isomerase) (IPMI)
gene-Rv2988c,Rv2988c,leuC,Probable 3-isopropylmalate dehydratase (large subunit) LeuC (isopropylmalate isomerase) (alpha-IPM isomerase) (IPMI)
gene-Rv2989,Rv2989,Rv2989,Probable transcriptional regulatory protein
gene-Rv2990c,Rv2990c,Rv2990c,Hypothetical protein
gene-Rv2991,Rv2991,Rv2991,Conserved protein
gene-Rv2992c,Rv2992c,gltS,Glutamyl-tRNA synthetase GltS (glutamate--tRNA ligase) (glutamyl-tRNA synthase) (GLURS)
gene-Rv2993c,Rv2993c,Rv2993c,"Possible 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (HHDD isomerase)"
gene-Rv2994,Rv2994,Rv2994,Probable conserved integral membrane protein
gene-Rv2995c,Rv2995c,leuB,Probable 3-isopropylmalate dehydrogenase LeuB (beta-IPM dehydrogenase) (IMDH) (3-IPM-DH)
gene-Rv2996c,Rv2996c,serA1,Probable D-3-phosphoglycerate dehydrogenase SerA1 (PGDH)
gene-Rv2997,Rv2997,Rv2997,Possible alanine rich dehydrogenase
gene-Rv2998,Rv2998,Rv2998,Hypothetical protein
gene-Rv2998A,Rv2998A,Rv2998A,Conserved hypothetical protein
gene-Rv2999,Rv2999,lppY,Probable conserved lipoprotein LppY
gene-Rv3000,Rv3000,Rv3000,Possible conserved transmembrane protein
gene-Rv3001c,Rv3001c,ilvC,Probable KETOL-acid reductoisomerase IlvC (acetohydroxy-acid isomeroreductase) (alpha-keto-beta-hydroxylacil reductoisomerase)
gene-Rv3002c,Rv3002c,ilvN,Probable acetolactate synthase (small subunit) IlvN (acetohydroxy-acid synthase) (AHAS) (ALS)
gene-Rv3003c,Rv3003c,ilvB1,Acetolactate synthase (large subunit) IlvB1 (acetohydroxy-acid synthase)
gene-Rv3004,Rv3004,cfp6,Low molecular weight protein antigen 6 (CFP-6)
gene-Rv3005c,Rv3005c,Rv3005c,Conserved hypothetical protein
gene-Rv3006,Rv3006,lppZ,Probable conserved lipoprotein LppZ
gene-Rv3007c,Rv3007c,Rv3007c,Possible oxidoreductase
gene-Rv3008,Rv3008,Rv3008,Hypothetical protein
gene-Rv3009c,Rv3009c,gatB,Probable glutamyl-tRNA(GLN) amidotransferase (subunit B) GatB (Glu-ADT subunit B)
gene-Rv3010c,Rv3010c,pfkA,Probable 6-phosphofructokinase PfkA (phosphohexokinase) (phosphofructokinase)
gene-Rv3011c,Rv3011c,gatA,Probable glutamyl-tRNA(GLN) amidotransferase (subunit A) GatA (Glu-ADT subunit A)
gene-Rv3012c,Rv3012c,gatC,Probable glutamyl-tRNA(GLN) amidotransferase (subunit C) GatC (Glu-ADT subunit C)
gene-Rv3013,Rv3013,Rv3013,Conserved protein
gene-Rv3014c,Rv3014c,ligA,DNA ligase [NAD dependent] LigA (polydeoxyribonucleotide synthase [NAD+])
gene-Rv3015c,Rv3015c,Rv3015c,Conserved hypothetical protein
gene-Rv3016,Rv3016,lpqA,Probable lipoprotein LpqA
gene-Rv3017c,Rv3017c,esxQ,ESAT-6 like protein EsxQ (TB12.9) (ESAT-6 like protein 8)
gene-Rv3018c,Rv3018c,PPE46,PPE family protein PPE46
gene-Rv3018A,Rv3018A,PE27A,PE family protein PE27A
gene-Rv3019c,Rv3019c,esxR,Secreted ESAT-6 like protein EsxR (TB10.3) (ESAT-6 like protein 9)
gene-Rv3020c,Rv3020c,esxS,ESAT-6 like protein EsxS
gene-Rv3021c,Rv3021c,PPE47,PPE family protein PPE47
gene-Rv3022c,Rv3022c,PPE48,PPE family protein PPE48
gene-Rv3022A,Rv3022A,PE29,PE family protein PE29
gene-Rv3023c,Rv3023c,Rv3023c,Probable transposase
gene-Rv3024c,Rv3024c,trmU,Probable tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase TrmU
gene-Rv3025c,Rv3025c,iscS,Cysteine desulfurase IscS (NIFS protein homolog) (nitrogenase metalloclusters biosynthesis protein NIFS)
gene-Rv3026c,Rv3026c,Rv3026c,Conserved hypothetical protein
gene-Rv3027c,Rv3027c,Rv3027c,GCN5-related N-acetyltransferase
gene-Rv3028c,Rv3028c,fixB,Probable electron transfer flavoprotein (alpha-subunit) FixB (alpha-ETF) (electron transfer flavoprotein large subunit) (ETFLS)
gene-Rv3029c,Rv3029c,fixA,Probable electron transfer flavoprotein (beta-subunit) FixA (beta-ETF) (electron transfer flavoprotein small subunit) (ETFSS)
gene-Rv3030,Rv3030,Rv3030,Conserved protein
gene-Rv3031,Rv3031,Rv3031,Conserved protein
gene-Rv3032,Rv3032,Rv3032,Alpha (1->4) glucosyltransferase
gene-Rv3032A,Rv3032A,Rv3032A,Conserved protein
gene-Rv3033,Rv3033,Rv3033,Unknown protein
gene-Rv3034c,Rv3034c,Rv3034c,Possible transferase
gene-Rv3035,Rv3035,Rv3035,Conserved protein
gene-Rv3036c,Rv3036c,TB22.2,Probable conserved secreted protein TB22.2
gene-Rv3037c,Rv3037c,Rv3037c,Conserved hypothetical protein
gene-Rv3038c,Rv3038c,Rv3038c,Conserved protein
gene-Rv3039c,Rv3039c,echA17,Probable enoyl-CoA hydratase EchA17 (crotonase) (unsatured acyl-CoA hydratase) (enoyl hydrase)
gene-Rv3040c,Rv3040c,Rv3040c,Conserved protein
gene-Rv3041c,Rv3041c,Rv3041c,Probable conserved ATP-binding protein ABC transporter
gene-Rv3042c,Rv3042c,serB2,Probable phosphoserine phosphatase SerB2 (PSP) (O-phosphoserine phosphohydrolase) (pspase)
gene-Rv3043c,Rv3043c,ctaD,Probable cytochrome C oxidase polypeptide I CtaD (cytochrome AA3 subunit 1)
gene-Rv3044,Rv3044,fecB,Probable FEIII-dicitrate-binding periplasmic lipoprotein FecB
gene-Rv3045,Rv3045,adhC,Probable NADP-dependent alcohol dehydrogenase AdhC
gene-Rv3046c,Rv3046c,Rv3046c,Conserved protein
gene-Rv3047c,Rv3047c,Rv3047c,Hypothetical protein
gene-Rv3048c,Rv3048c,nrdF2,Ribonucleoside-diphosphate reductase (beta chain) NrdF2 (ribonucleotide reductase small subunit) (R2F protein)
gene-Rv3049c,Rv3049c,Rv3049c,Probable monooxygenase
gene-Rv3050c,Rv3050c,Rv3050c,Probable transcriptional regulatory protein (probably AsnC-family)
gene-Rv3051c,Rv3051c,nrdE,Ribonucleoside-diphosphate reductase (alpha chain) NrdE (ribonucleotide reductase small subunit) (R1F protein)
gene-Rv3052c,Rv3052c,nrdI,Probable NrdI protein
gene-Rv3053c,Rv3053c,nrdH,Probable glutaredoxin electron transport component of NRDEF (glutaredoxin-like protein) NrdH
gene-Rv3054c,Rv3054c,Rv3054c,Conserved hypothetical protein
gene-Rv3055,Rv3055,Rv3055,Possible transcriptional regulatory protein (probably TetR-family)
gene-Rv3056,Rv3056,dinP,Possible DNA-damage-inducible protein P DinP (DNA polymerase V) (pol IV 2) (DNA nucleotidyltransferase (DNA-directed))
gene-Rv3057c,Rv3057c,Rv3057c,Probable short chain alcohol dehydrogenase/reductase
gene-Rv3058c,Rv3058c,Rv3058c,Possible transcriptional regulatory protein (probably TetR-family)
gene-Rv3059,Rv3059,cyp136,Probable cytochrome P450 136 Cyp136
gene-Rv3060c,Rv3060c,Rv3060c,Probable transcriptional regulatory protein (probably GntR-family)
gene-Rv3061c,Rv3061c,fadE22,Probable acyl-CoA dehydrogenase FadE22
gene-Rv3062,Rv3062,ligB,Probable ATP-dependent DNA ligase LigB (polydeoxyribonucleotide synthase [ATP]) (polynucleotide ligase [ATP]) (sealase) (DNA repair protein) (DNA joinase)
gene-Rv3063,Rv3063,cstA,Probable carbon starvation protein A homolog CstA
gene-Rv3064c,Rv3064c,Rv3064c,Probable conserved integral membrane protein
gene-Rv3065,Rv3065,mmr,Multidrugs-transport integral membrane protein Mmr
gene-Rv3066,Rv3066,Rv3066,Probable transcriptional regulatory protein (probably DeoR-family)
gene-Rv3067,Rv3067,Rv3067,Conserved hypothetical protein
gene-Rv3068c,Rv3068c,pgmA,Probable phosphoglucomutase PgmA (glucose phosphomutase) (PGM)
gene-Rv3069,Rv3069,Rv3069,Probable conserved transmembrane protein
gene-Rv3070,Rv3070,Rv3070,Probable conserved integral membrane protein
gene-Rv3071,Rv3071,Rv3071,Conserved hypothetical protein
gene-Rv3072c,Rv3072c,Rv3072c,Conserved hypothetical protein
gene-Rv3073c,Rv3073c,Rv3073c,Conserved hypothetical protein
gene-Rv3074,Rv3074,Rv3074,Conserved hypothetical protein
gene-Rv3075c,Rv3075c,Rv3075c,Conserved protein
gene-Rv3076,Rv3076,Rv3076,Conserved hypothetical protein
gene-Rv3077,Rv3077,Rv3077,Possible hydrolase
gene-Rv3078,Rv3078,hab,Probable hydroxylaminobenzene mutase Hab
gene-Rv3079c,Rv3079c,Rv3079c,Conserved protein
gene-Rv3080c,Rv3080c,pknK,Serine/threonine-protein kinase transcriptional regulatory protein PknK (protein kinase K) (STPK K)
gene-Rv3081,Rv3081,Rv3081,Conserved hypothetical protein
gene-Rv3082c,Rv3082c,virS,Virulence-regulating transcriptional regulator VirS (AraC/XylS family)
gene-Rv3083,Rv3083,Rv3083,Probable monooxygenase (hydroxylase)
gene-Rv3084,Rv3084,lipR,Probable acetyl-hydrolase/esterase LipR
gene-Rv3085,Rv3085,Rv3085,Probable short-chain type dehydrogenase/reductase
gene-Rv3086,Rv3086,adhD,Probable zinc-type alcohol dehydrogenase AdhD (aldehyde reductase)
gene-Rv3087,Rv3087,Rv3087,Possible triacylglycerol synthase (diacylglycerol acyltransferase)
gene-Rv3088,Rv3088,tgs4,Putative triacylglycerol synthase (diacylglycerol acyltransferase) Tgs4
gene-Rv3089,Rv3089,fadD13,Probable chain -fatty-acid-CoA ligase FadD13 (fatty-acyl-CoA synthetase)
gene-Rv3090,Rv3090,Rv3090,Unknown alanine and valine rich protein
gene-Rv3091,Rv3091,Rv3091,Conserved protein
gene-Rv3092c,Rv3092c,Rv3092c,Probable conserved integral membrane protein
gene-Rv3093c,Rv3093c,Rv3093c,Hypothetical oxidoreductase
gene-Rv3094c,Rv3094c,Rv3094c,Conserved hypothetical protein
gene-Rv3095,Rv3095,Rv3095,Hypothetical transcriptional regulatory protein
gene-Rv3096,Rv3096,Rv3096,Conserved hypothetical protein
gene-Rv3097c,Rv3097c,lipY,"PE-PGRS family protein, triacylglycerol lipase LipY (esterase/lipase) (triglyceride lipase) (tributyrase)"
gene-Rv3098c,Rv3098c,Rv3098c,Hypothetical protein
gene-Rv3098A,Rv3098A,Rv3098A,PemK-like protein
gene-Rv3099c,Rv3099c,Rv3099c,Conserved protein
gene-Rv3100c,Rv3100c,smpB,Probable SSRA-binding protein SmpB
gene-Rv3101c,Rv3101c,ftsX,Putative cell division protein FtsX (septation component-transport integral membrane protein ABC transporter)
gene-Rv3102c,Rv3102c,ftsE,Putative cell division ATP-binding protein FtsE (septation component-transport ATP-binding protein ABC transporter)
gene-Rv3103c,Rv3103c,Rv3103c,Hypothetical proline-rich protein
gene-Rv3104c,Rv3104c,Rv3104c,Possible conserved transmembrane protein
gene-Rv3105c,Rv3105c,prfB,Probable peptide chain release factor 2 PrfB (RF-2)
gene-Rv3106,Rv3106,fprA,NADPH:adrenodoxin oxidoreductase FprA (NADPH-ferredoxin reductase)
gene-Rv3107c,Rv3107c,agpS,Possible alkyldihydroxyacetonephosphate synthase AgpS (alkyl-DHAP synthase) (alkylglycerone-phosphate synthase)
gene-Rv3108,Rv3108,Rv3108,Hypothetical protein
gene-Rv3109,Rv3109,moaA1,Probable molybdenum cofactor biosynthesis protein A MoaA1
gene-Rv3110,Rv3110,moaB1,Probable pterin-4-alpha-carbinolamine dehydratase MoaB1 (PHS) (4-alpha- hydroxy-tetrahydropterin dehydratase) (pterin-4-a-carbinolamine dehydratase) (phenylalanine hydroxylase-stimulating protein) (PHS) (pterin carbinolamine dehydratase) (PCD)
gene-Rv3111,Rv3111,moaC1,Probable molybdenum cofactor biosynthesis protein C MoaC1
gene-Rv3112,Rv3112,moaD1,"Probable molybdenum cofactor biosynthesis protein D MoaD1 (molybdopterin converting factor small subunit) (molybdopterin [MPT] converting factor, subunit 1)"
gene-Rv3113,Rv3113,Rv3113,Possible phosphatase
gene-Rv3114,Rv3114,Rv3114,Conserved hypothetical protein
gene-Rv3115,Rv3115,Rv3115,Probable transposase
gene-Rv3116,Rv3116,moeB2,Probable molybdenum cofactor biosynthesis protein MoeB2 (MPT-synthase sulfurylase) (molybdopterin synthase sulphurylase)
gene-Rv3117,Rv3117,cysA3,Probable thiosulfate sulfurtransferase CysA3 (rhodanese-like protein) (thiosulfate cyanide transsulfurase) (thiosulfate thiotransferase)
gene-Rv3118,Rv3118,sseC2,Conserved hypothetical protein SseC1
gene-Rv3119,Rv3119,moaE1,"Probable molybdenum cofactor biosynthesis protein E MoaE1 (molybdopterin converting factor large subunit) (molybdopterin [MPT] converting factor, subunit 2)"
gene-Rv3120,Rv3120,Rv3120,Conserved hypothetical protein
gene-Rv3121,Rv3121,cyp141,Probable cytochrome P450 141 Cyp141
gene-Rv3122,Rv3122,Rv3122,Hypothetical protein
gene-Rv3123,Rv3123,Rv3123,Hypothetical protein
gene-Rv3124,Rv3124,moaR1,Transcriptional regulatory protein MoaR1
gene-Rv3125c,Rv3125c,PPE49,PPE family protein PPE49
gene-Rv3126c,Rv3126c,Rv3126c,Hypothetical protein
gene-Rv3127,Rv3127,Rv3127,Conserved protein
gene-Rv3128c,Rv3128c,Rv3128c,Conserved hypothetical protein
gene-Rv3129,Rv3129,Rv3129,Conserved hypothetical protein
gene-Rv3130c,Rv3130c,tgs1,Triacylglycerol synthase (diacylglycerol acyltransferase) Tgs1
gene-Rv3131,Rv3131,Rv3131,Conserved protein
gene-Rv3132c,Rv3132c,devS,Two component sensor histidine kinase DevS
gene-Rv3133c,Rv3133c,devR,Two component transcriptional regulatory protein DevR (probably LuxR/UhpA-family)
gene-Rv3134c,Rv3134c,Rv3134c,Universal stress protein family protein
gene-Rv3135,Rv3135,PPE50,PPE family protein PPE50
gene-Rv3136,Rv3136,PPE51,PPE family protein PPE51
gene-Rv3136A,Rv3136A,Rv3136A,Conserved protein
gene-Rv3137,Rv3137,Rv3137,Probable monophosphatase
gene-Rv3138,Rv3138,pflA,Probable pyruvate formate lyase activating protein PflA (formate acetyltransferase activating enzyme) ([pyruvate formate-lyase] activating enzyme)
gene-Rv3139,Rv3139,fadE24,Probable acyl-CoA dehydrogenase FadE24
gene-Rv3140,Rv3140,fadE23,Probable acyl-CoA dehydrogenase FadE23
gene-Rv3141,Rv3141,fadB4,Probable NADPH quinone oxidoreductase FadB4 (NADPH:quinone reductase) (zeta-crystallin)
gene-Rv3142c,Rv3142c,Rv3142c,Hypothetical protein
gene-Rv3143,Rv3143,Rv3143,Probable response regulator
gene-Rv3144c,Rv3144c,PPE52,PPE family protein PPE52
gene-Rv3145,Rv3145,nuoA,Probable NADH dehydrogenase I (chain A) NuoA (NADH-ubiquinone oxidoreductase chain A)
gene-Rv3146,Rv3146,nuoB,Probable NADH dehydrogenase I (chain B) NuoB (NADH-ubiquinone oxidoreductase chain B)
gene-Rv3147,Rv3147,nuoC,Probable NADH dehydrogenase I (chain C) NuoC (NADH-ubiquinone oxidoreductase chain C)
gene-Rv3148,Rv3148,nuoD,Probable NADH dehydrogenase I (chain D) NuoD (NADH-ubiquinone oxidoreductase chain D)
gene-Rv3149,Rv3149,nuoE,Probable NADH dehydrogenase I (chain E) NuoE (NADH-ubiquinone oxidoreductase chain E)
gene-Rv3150,Rv3150,nuoF,Probable NADH dehydrogenase I (chain F) NuoF (NADH-ubiquinone oxidoreductase chain F)
gene-Rv3151,Rv3151,nuoG,Probable NADH dehydrogenase I (chain G) NuoG (NADH-ubiquinone oxidoreductase chain G)
gene-Rv3152,Rv3152,nuoH,Probable NADH dehydrogenase I (chain H) NuoH (NADH-ubiquinone oxidoreductase chain H)
gene-Rv3153,Rv3153,nuoI,Probable NADH dehydrogenase I (chain I) NuoI (NADH-ubiquinone oxidoreductase chain I)
gene-Rv3154,Rv3154,nuoJ,Probable NADH dehydrogenase I (chain J) NuoJ (NADH-ubiquinone oxidoreductase chain J)
gene-Rv3155,Rv3155,nuoK,Probable NADH dehydrogenase I (chain K) NuoK (NADH-ubiquinone oxidoreductase chain K)
gene-Rv3156,Rv3156,nuoL,Probable NADH dehydrogenase I (chain L) NuoL (NADH-ubiquinone oxidoreductase chain L)
gene-Rv3157,Rv3157,nuoM,Probable NADH dehydrogenase I (chain M) NUOK (NADH-ubiquinone oxidoreductase chain M)
gene-Rv3158,Rv3158,nuoN,Probable NADH dehydrogenase I (chain N) NuoN (NADH-ubiquinone oxidoreductase chain N)
gene-Rv3159c,Rv3159c,PPE53,PPE family protein PPE53
gene-Rv3160c,Rv3160c,Rv3160c,Possible transcriptional regulatory protein (probably TetR-family)
gene-Rv3161c,Rv3161c,Rv3161c,Possible dioxygenase
gene-Rv3162c,Rv3162c,Rv3162c,Possible integral membrane protein
gene-Rv3163c,Rv3163c,Rv3163c,Possible conserved secreted protein
gene-Rv3164c,Rv3164c,moxR3,Probable methanol dehydrogenase transcriptional regulatory protein MoxR3
gene-Rv3165c,Rv3165c,Rv3165c,Unknown protein
gene-Rv3166c,Rv3166c,Rv3166c,Conserved hypothetical protein
gene-Rv3167c,Rv3167c,Rv3167c,Probable transcriptional regulatory protein (probably TetR-family)
gene-Rv3168,Rv3168,Rv3168,Putative aminoglycoside phosphotransferase
gene-Rv3169,Rv3169,Rv3169,Conserved protein
gene-Rv3170,Rv3170,aofH,Probable flavin-containing monoamine oxidase AofH (amine oxidase) (MAO)
gene-Rv3171c,Rv3171c,hpx,Possible non-heme haloperoxidase Hpx
gene-Rv3172c,Rv3172c,Rv3172c,Hypothetical protein
gene-Rv3173c,Rv3173c,Rv3173c,Probable transcriptional regulatory protein (probably TetR/AcrR-family)
gene-Rv3174,Rv3174,Rv3174,Probable short-chain dehydrogenase/reductase
gene-Rv3175,Rv3175,Rv3175,Possible amidase (aminohydrolase)
gene-Rv3176c,Rv3176c,mesT,Probable epoxide hydrolase MesT (epoxide hydratase) (arene-oxide hydratase)
gene-Rv3177,Rv3177,Rv3177,Possible peroxidase (non-haem peroxidase)
gene-Rv3178,Rv3178,Rv3178,Conserved hypothetical protein
gene-Rv3179,Rv3179,Rv3179,Conserved protein
gene-Rv3180c,Rv3180c,Rv3180c,Hypothetical alanine rich protein
gene-Rv3181c,Rv3181c,Rv3181c,Conserved protein
gene-Rv3182,Rv3182,Rv3182,Conserved hypothetical protein
gene-Rv3183,Rv3183,Rv3183,Possible transcriptional regulatory protein
gene-Rv3184,Rv3184,Rv3184,Probable transposase for insertion sequence element IS6110 (fragment)
gene-Rv3185,Rv3185,Rv3185,Probable transposase
gene-Rv3186,Rv3186,Rv3186,Probable transposase for insertion sequence element IS6110 (fragment)
gene-Rv3187,Rv3187,Rv3187,Probable transposase
gene-Rv3188,Rv3188,Rv3188,Conserved hypothetical protein
gene-Rv3189,Rv3189,Rv3189,Conserved hypothetical protein
gene-Rv3190c,Rv3190c,Rv3190c,Hypothetical protein
gene-Rv3190A,Rv3190A,Rv3190A,Conserved protein
gene-Rv3191c,Rv3191c,Rv3191c,Probable transposase
gene-Rv3192,Rv3192,Rv3192,Conserved hypothetical alanine and proline-rich protein
gene-Rv3193c,Rv3193c,Rv3193c,Probable conserved transmembrane protein
gene-Rv3194c,Rv3194c,Rv3194c,Possible conserved secreted protein
gene-Rv3195,Rv3195,Rv3195,Conserved hypothetical protein
gene-Rv3196,Rv3196,Rv3196,Conserved hypothetical protein
gene-Rv3196A,Rv3196A,Rv3196A,Unknown protein
gene-Rv3197,Rv3197,Rv3197,Probable conserved ATP-binding protein ABC transporter
gene-Rv3197A,Rv3197A,whiB7,Probable transcriptional regulatory protein WhiB-like WhiB7
gene-Rv3198c,Rv3198c,uvrD2,Probable ATP-dependent DNA helicase II UvrD2
gene-Rv3198A,Rv3198A,Rv3198A,Possible glutaredoxin protein
gene-Rv3199c,Rv3199c,nudC,Probable NADH pyrophosphatase NudC (NAD+ diphosphatase) (NAD+ pyrophosphatase) (NADP pyrophosphatase)
gene-Rv3200c,Rv3200c,Rv3200c,Possible transmembrane cation transporter
gene-Rv3201c,Rv3201c,Rv3201c,Probable ATP-dependent DNA helicase
gene-Rv3202c,Rv3202c,Rv3202c,Possible ATP-dependent DNA helicase
gene-Rv3203,Rv3203,lipV,Possible lipase LipV
